CQN	CHNC
gật gưỡng	𩠓仰
gau gáu	噑噑
gay gắt	垓噶
gây gấy	𰟅𰟅
gay go	垓𦁣
gây gổ	𨠳古
gầy gò	𤷍𡍢
gầy guộc	𤷍𤶹
già giặn	𫅷忍
giặc giã	賊偖
giãi giề	𤐃支
giậm giật	𨁹𪮞
giấm giúi	𥋶搥
giần giật	𪮞𪮞
giằn giọc	𢴟𬴭
giằn giỗi	𠇁𢢊
giàn giụa	𣼼㗎
giáo giở	𥋽𠭤
giặt giũ	𣾹𱡃
giặt gỵa	𣾹洩
giấu giếm	𢭳掂
giãy giụa	䟢㗎
giây giướng	𦀊仗
gièm giẹp	揲揲
giéo giắt	𠰉㗭
giẹo giọ	佋住
gìn giữ	𢷹𡨺
giờ giấc	𣇞𥋏
giở giói	捛𢷮
giối già	讄𫅷
giối giăng	讄𦝄
giỏi giang	𠐞江
giòn giã	伅偖
gion giỏn	吮吮
giôn giốt	詘詘
gióng giả	𪢊㨋
giông giống	𥞖𥞖
giữ giàng	𡨺江
giữ gìn	𡨺𢷹
giu giú	𢭳𢭳
giục giã	𠽖偖
giục giặc	𠽖賊
giúi giụi	搥𢵌
gỡ gạc	攑㓢
gò gẫm	𡍢𡄎
gồ ghề	𥕥𥗎
gốc gác	㭲閣
gói gắm	襘𧃃
gởi gắm	寄𧃃
gờm gờm	𢢬𢢬
gớm guốc	𡃍槶
gọn gàng	袞抗
gọn ghẽ	袞技
gòn gọn	袞袞
gờn gợn	𰜠𰜠
gọn lỏn	袞𫐮
gọn thon lỏn	袞𠴘𫐮
góp nhóp	𢵰叺
gục gặc	𩠧𩠓
gửi gắm	寄𧃃
gùn gút	縎縎
gườm gườm	睒睒
gượng gạo	強檤
gường gượng	強強
hả hê	嘑𭌟
há hốc	𠹛嘝
hâm hấp	熻熻
hẩm hiu	𥼲㳜
ham hố	𫻎唬
hăm hở	𢣇𢠇
hằn học	恨學
hăng hái	㤚𢲨
háo hức	好洫
hấp tấp	吸漝
hắt hiu	𫤾㳜
hất hủi	迄癐
hắt hủi	𫤾癐
hể hả	𠯋嘑
hề hấn	𢭁釁
he hé	𢬾𢬾
hếch hoác	侅嚯
hẹn hò	𭉑㗅
héo hắt	𤉗𫤾
heo hút	囂唿
hí hoáy	咥渨
hở hang	汻𡎟
hớ hênh	𤾟亨
hơ hớ	𤾟𤾟
hồ hởi	胡憘
hờ hững	噓𠾿
hoạ hoằn	和唍
hoa hoè	花𠺌
hoa hoét	花𠲣
hoài hoài	懷懷
hoang hoác	荒嚯
hoang toàng	荒䢨
hoạnh hoẹ	橫𠽡
hộc hà hộc hệch	斛何斛劾
hốc hác	嘝壑
hốc hếch	嘝侅
hộc hệch	斛劾
hộc tốc	斛速
hối hả	誨嘑
hôi hám	洃㦑
hôi hổi	𤍃𤍃
hoi hóp	脄𨸚
hời hợt	𢝷愒
hom hem	𩩿嫌
hóm hỉnh	憾擤
hợm hĩnh	唅𠲮
hom hỏm	陷陷
hổn ha hổn hển	混哬混顯
hỗn hào	溷豪
hổn hển	混顯
hớn hở	𢠦𢠇
hon hỏn	𠮬𠮬
hơn hớn	𢠦𢠦
hờn hợt	愒愒
hống hách	吼赫
hồng hào	紅豪
hổng hểnh	𠸣啈
hồng hộc	斛斛
hong hóng	𥈰𥈰
hớt hải	㓭海
hớt hơ hớt hải	㓭𤏤㓭海
hư hèn	墟𢤞
hú hí	吁咥
hú hoạ	吁和
hục hặc	𡄆嘿
huếch hoác	擴嚯
huênh hoang	𠇟荒
hum húp	噏噏
húng hắng	哅响
hững hờ	𠾿噓
hừng hực	𬋙𤍋
hưng hửng	𬋙𬋙
húp híp	噏䀫
im ỉm	唵唵
im lìm	唵𠿳
im lịm	唵殮
ỉu xìu	夭𱡁
ỉu xịu	夭𱡁
kề cà	倛㧝
kể lể	計𣠲
ké né	𦵗迡
kè nhè	𥰇洏
kém cạnh	歉競
kém cỏi	歉𢜽
kèm nhèm	兼𣲹
kèn cựa	𥱲距
ken két	摼咭
kềnh càng	倞𪨈
kềnh kệnh	傹傹
kèo cò	撟瞿
kèo kẹo	撟撟
kẽo kẹt	嘺𠹳
kèo nèo	撟𱒡
kha khá	可可
khá khen	可𠸦
khắc khoải	刻挂
khặc khừ	咯啹
khách khứa	客佉
khăm khắm	㘛㘛
khăn khẳn	𡁵𡁵
khẩn khoản	懇款
khấn khứa	懇佉
khang khác	恪恪
khang kháng	肮肮
khang khảng	肮肮
khẳng kheo	肯𩨼
khăng khít	𠻞𢝛
khẳng khiu	肯𠰋
khạng nạng	𣡤
khao khát	犒渴
khấp kha khấp khểnh	伋柯伋俓
khập khà khập khiễng	𨂖𠀪𨂖𨁍
khấp khểnh	伋俓
khập khiễng	𨂖𨁍
khấp khởi	伋起
khát khao	渴滈
khắt khe	𰸑蹊
khất khứa	乞佉
kháu khỉnh	蔻𠾶
khề khà	𠀫𠀪
khe khắt	蹊𰸑
khe khẽ	溪𡃊
khè khè	契契
khệ nệ	憩泥
khệnh khạng	/td>
kheo khéo	𫩟𫩟
kheo khư	𩨼呿
khéo léo	𫩟嘹
khép nép	𢬱㨥
khét lẹt	𤋸哷
khin khít	𢝛𢝛
khìn khịt	喫喫
khinh khỉnh	𠾶𠾶
khít khao	𢝛犒
khít khịt	𢝛喫
khó khăn	𠸋𫩒
khờ khạo	𤵕叩
khò khè	𠺟契
khờ khĩnh	𤵕頃
kho khó	𠸋𠸋
khò khò	𠺟𠺟
khô khốc	枯酷
khô không khốc	枯空酷
khoăm khoăm	欽欽
khoảnh khoái	頃快
khóc lóc	哭𠯿
khỏe khoắn	劸寬
khoe khoang	誇𧧯
khòm khòm	謙謙
khôn khéo	坤𫩟
khù khờ	傴𤵕
khù khụ	傴傴
khuây khoả	𢚹𬈎
khúc kha khúc khích	曲柯曲隙
khúc khích	曲隙
khúc khuỷu	曲𣎣
khuếch khoác	擴𢸠
khúm núm	𨆃埝
khủng khỉnh	𠺱𠾶
khụt khịt	嗗喫
khuya khoắt	𣌉屈
kĩ càng	技𪨈
ki cóp	𭊫秴
kì kèo	掎撟
kìn kìn	虔虔
kìn kịt	桀桀
kình kịch	劇劇
kĩu cà kĩu kịt	礄咖礄桀
kĩu kịt	礄桀
la cà	邏咖
là lạ	𨓐𨓐
la liếm	囉𦧷
la lối	囉𡓃
là lượt	羅𦀎
lắc lư	扐攎
lai láng	𢯦㫰
lai nhai	𢯦啀
lài nhài	𢯦啀
lai rai	𢯦𡃄
lẩm bẩm	𡀫稟
lẫm chẫm	𨈇𧿒
làm lẽ	𫜵𨤰
lăm le	惏𠻗
làm lơ	𫜵𢣻
làm loạn	𫜵亂
làm lụng	𫜵弄
lam nham	襤岩
làm nhàm	𫜵啱
lấm tấm	壈𥺑
lan man	攔漫
lang bang	𨄂邦
lang lảng	踉踉
lẳng lặng	㥄𣼽
lặng lẽ	𣼽𨤰
lang lổ	𫉱瀂
làng nhàng	廊瓖
lăng nhăng	掕𠲕
lằng nhằng	㖫嚷
lang thang	𨄂湯
lảng vảng	𨅉往
lành canh	令更
lanh chanh	伶橙
lành lặn	令𣵰
lanh lảnh	𪽏𪽏
lành lạnh	冷冷
lanh lẹ	伶厲
lanh lẹn	伶練
lạnh lẽo	冷𠖭
lanh lợi	伶俐
lành mạnh	令猛
lanh tranh	伶爭
lành tranh	令爭
lao nhao	嘮堯
lào rào	嘮樔
lào xào	嘮𡁞
lạo xạo	澇䛒
láp nháp	啦𡊠
lạt lẽo	𤁕𠖭
làu bàu	恅垉
lâu la	𱍿羅
lau láu	嗍嗍
lau nhau	撈僥
lay lắt	摛搮
lay láy	𠸨𠸨
lay nhay	摛捱
le lói	𠻗𤑭
lẻ loi	𥛭𩁦
le te	𠻗呞
lẻ tẻ	𥛭粃
lê thê	𠠍淒
lem lém	蘝蘝
lem lẻm	𡄥𡄥
lém lỉnh	蘝𰈼
lem luốc	濂溽
lem nhem	濂濂
len lén	𨇍𨇍
len lét	𥉬𥉬
len lỏi	蹥𨇒
leng beng	鈴鋲
leng keng	鈴鏗
leo kheo	蹽𩨼
leo lẻo	𣱾𣱾
leo lét	蹽𥉬
leo nheo	蹽䁱
leo teo	蹽悄
lẹo tẹo	瞭俏
leo trèo	蹽𨅹
lệt sệt	咧𣻂
li bì	離皮
li la li lô	漓囉漓盧
li ti	釐絲
lia lịa	攡攡
liếm láp	𦧷啦
liến láu	嗹嗍
liểng xiểng	冷䇸
liếp nhiếp	䉭攝
liều liệu	料料
liều lĩnh	憭領
liêu xiêu	遼嘌
lim dim	𥋲𥇌
lính quýnh	𪜯𢷳
lít nhít	𡊻𱎰
lò cò	爐𪂲
lo lắng	𢥈𢠯
lố lăng	𠐔𠲕
lờ lợ	𠐳𠐳
lơ tơ mơ	𢣻媤𢠩
loạc choạc	𠯿𠺷
loai nhoai	類𬿕
loăn xoăn	彎𩭵
loáng choáng	灤𤶜
loảng choảng	𬂆鏯
loạng choạng	𨃹𫏈
loang lổ	𰺽瀂
loang loáng	𤈛𤈛
loang loãng	𰺽𣿅
loằng ngoằng	啷弘
loăng quăng	浪挄
loáng thoáng	灤洸
loang toàng	𰺽䢨
loàng xoàng	𠌇侊
loảng xoảng	𬂆鏯
loanh quanh	𨗺𨒺
loắt choắt	傈㑁
loạt xoạt	唰咄
loay hoay	摞揋
lốc chốc	祿𡎺
loe loét	傫𤷯
loe toe	傫䏴
loi choi	𩁦椎
lỗi liếc	纇𥆁
loi ngoi	𩁦𢶼
loi nhoi	𩁦𥊖
lõm bõm	𡔑渀
lộm cộm	礷𥖜
lom khom	𦡶𢐎
lổm ngổm	覽嚴
lờm xờm	㘕𬇁
lớn lao	𡘯嘮
lổn nhổn	侖𫣑
lon ton	㖮噂
lon xon	㖮㖺
lòng khòng	挵𢪬
lỏng khỏng	挵𢪬
long lanh	儱伶
lóng lánh	𬊊𪸝
lộng lẫy	𣼰𡅏
long lỏng	𣿅𣿅
lồng lộng	𣼰𣼰
long nhong	儱銊
lòng thòng	挵𦄷
long tong	儱淙
lớp lang	笠郎
lớt phớt	𣼷咈
lu bù	瞜補
lừ khừ	𡃖啹
lủ khủ lù khù	婁苦瀘傴
lu loa	罏𠼱
