Character,Reading,Examples
調,đều,"調憚 đều đặn
調僥 đều nhau
同調 đồng đều
調𢝙𢜠 đều vui mừng"
悼,ĐIỆU,追悼 truy điệu
窕,ĐIỆU,窈窕 yểu điệu
丁,ĐINH,"丁香 đinh hương
窮丁 cùng đinh
[翻]"
釘,ĐINH,"釘耙 đinh ba
頭釘 đầu đinh
㨂釘 đóng đinh"
釘,đanh,"釘𥒥 đanh đá
釘𨨧 đanh thép"
䟓,đỉnh,𨆟䟓 đủng đỉnh
頂,ĐỈNH,"頂𡶀 đỉnh núi
頂點 đỉnh điểm
崒頂 tột đỉnh
𡭧頂 chút đỉnh
會議上頂 hội nghị thượng đỉnh"
訂,ĐÍNH,"訂正 đính chính
訂婚 đính hôn
考訂 khảo đính"
廷,ĐÌNH,"朝廷 triều đình
廷臣 đình thần"
亭,ĐÌNH,亭𡌽 đình đám
庭,ĐÌNH,家庭 gia đình
停,ĐÌNH,"停滯 đình trệ
調停 điều đình
停止 đình chỉ
調停 điều đình"
霆,ĐÌNH,"雷霆 lôi đình
靈霆 linh đình"
定,ĐỊNH,"定律 định luật
主定 chủ định
定見 định kiến
決定 quyết định"
𢵋,đo,"𢵋度 đo đạc
𢵋量 đo lường"
𧹻,đỏ,"𦭷𧹻 màu đỏ
豆𧹻 đậu đỏ
𮙻𧹻 đắt đỏ
[異]𧺃"
𧹻,đo,"𧹻𧹻 đo đỏ
⇔𧹻đỏ"
妬,đó,"於妬 ở đó
妬低 đó đây"
𥯉,đó,㨂𥯉過瀧 đóng đó qua sông
都,ĐÔ,"京都 kinh đô
故都 cố đô
都市 đô thị
都羅 đô-la
[翻]"
都,đô,"都物 đô vật
[翻]"
嘟,đô,嘟嘟 đô đô
𢭰,đổ,"𢭰步 đổ bộ
𮞶𢭰 lật đổ
𢭰𧅫 đổ rác
𢭰蒲洃 đổ mồ hôi"
妒,ĐỐ,妒忌 đố kị
徒,ĐỒ,"翁徒 ông đồ
偨徒 thầy đồ
生徒 sinh đồ
信徒 tín đồ
師徒 sư đồ
徒愚 đồ ngu"
徒,trò,學徒 học trò
途,ĐỒ,"前途 tiền đồ
世途 thế đồ"
涂,đồ,"涂𥸷 đồ xôi
𩵽涂 tôm đồ"
屠,ĐỒ,"屠宰 đồ tể
屠殺 đồ sát"
塗,ĐỒ,"塗幀 đồ tranh
塗𫇿 đồ thuốc
糊塗 hồ đồ"
𣘊,đồ,"𣘊度 đồ đạc
𣘊咹 đồ ăn
𣘊𨔈 đồ chơi
𣘊數 đồ sộ
㧗𣘊䀡 thử đồ xem
𣘊 đồ"
圖,ĐỒ,"表圖 biểu đồ
版圖 bản đồ
謀圖 mưu đồ
意圖 ý đồ
爭霸圖王 tranh bá đồ vương"
杜,ĐỖ,"杜鵑 đỗ quyên
杜仲 đỗ trọng
𣱆杜 họ Đỗ"
杜,đỗ,試杜 thi đỗ
杜,đậu,"試杜 thi đậu
⇔杜đỗ"
土,ĐỘ,淨土 tịnh độ
土,THỔ,"田土 điền thổ
土地 thổ địa
領土 lãnh thổ
㗂土 tiếng thổ
土耳其 Thổ Nhĩ Kì
𠊛土người Thổ"
渡,ĐỘ,"救渡 cứu độ
過渡 quá độ"
咜,đờ,"勁咜 cứng đờ
希咜𬰹 hi-đờ-rô
[翻]"
咜,xà,"咜刟 xà xẻo
咜𠓨 xà vào
咜錫 xà tích
咜𠳖 xà cạp"
扡,đỡ,"𢴇扡 giúp đỡ
扡𢠤󠄁 đỡ đần
[異]拖"
墮,ĐOẠ,"𢰥墮 đày đoạ
蹉墮 sa đoạ
墮落 đoạ lạc"
墮,đọa,𢰥墮 đày đọa
端,ĐOAN,"端正 đoan chính
甘端 cam đoan
極端 cực đoan
端莊 đoan trang
節端午 tết Đoan Ngọ"
斷,ĐOÁN,"診斷 chẩn đoán
察斷 xét đoán
推斷 suy đoán
判斷 phán đoán
獨斷 độc đoán
禁斷 cấm đoán
()"
斷,ĐOẠN,"䋎斷 đứt đoạn
壟斷 lũng đoạn
間斷 gián đoạn
斷腸新聲 đoạn trường tân thanh"
團,ĐOÀN,"團結 đoàn kết
軍團 quân đoàn
團體 đoàn thể
團聚 đoàn tụ
飛團 phi đoàn
聯團 liên đoàn"
段,ĐOẠN,"段塘 đoạn đường
分段 phân đoạn
手段 thủ đoạn
階段 giai đoạn
首段 thủ đoạn"
奪,ĐOẠT,"占奪 chiếm đoạt
定奪 định đoạt
削奪 tước đoạt
搶奪 sang đoạt
爭奪 tranh đoạt"
督,ĐỐC,"督察 đốc sát
監督 giám đốc
督戰 đốc chiến
基督 cơ đốc"
銩,đốc,"銩劍 đốc kiếm
銩刀 đốc dao"
篤,ĐỐC,"惇篤 đôn đốc
篤症 đốc chứng
[翻]"
毒,ĐỘC,"中毒 trúng độc
質毒 chất độc
投毒 đầu độc"
獨,ĐỘC,"獨立 độc lập
獨身 độc thân
獨話 độc thoại"
𩟡,ĐỘC,讀者 độc giả
𩟡,đọc,"讀冊 đọc sách
音讀 âm đọc"
𩟡,đói,"𩟡歉 đói kém
𩟡䏾 đói bụng
隢𩟡 nghèo đói"
𡡦,đòi,"碎𡡦 tôi đòi
𡥵𡡦 con đòi"
對,ĐÔI,"對箸 đôi đũa
對𩌂 đôi giày
房對 phòng đôi
笈對 cặp đôi
對𢮩 đôi co
[翻]"
對,ĐỐI,"對飲 đối ẩm
對面 đối diện
對待 đối đãi
對作 đối tác
𢶢對 chống đối
[翻]"
𢷮,đổi,"𠊝𢷮 thay đổi
𢷮㧻 đổi chác
𢭂𢷮 trao đổi"
𢷮,giói,捛𢷮 giở giói
𩼷,đối,𩵜𩼷 cá đối
玳,đồi,玳瑁 đồi mồi
頹,ĐỒI,衰頹 suy đồi
頹,tồi,頹弊 tồi tệ
𡾫,đồi,"𡶀𡾫 núi đồi
𦘹𡾫 sườn đồi"
𡑖,đỗi,過𡑖 quá đỗi
隊,ĐỘI,"部隊 bộ đội
隊琫 đội bóng
隊伍 đội ngũ
艦隊 hạm đội"
𠁀,đời,"局𠁀 cuộc đời
𠁀𠸗 đời xưa
姅𠁀 nửa đời"
炶,đóm,"𫁵炶 điếu đóm
炶炶 đom đóm"
炶,đom,"炶炶 đom đóm
⇔炶đóm"
杶,đòn,陣杶 trận đòn
頓,ĐỐN,"困頓 khốn đốn
頓末 đốn mạt
頓劫 đốn kiếp"
屯,ĐỒN,"屯壘 đồn luỹ
屯公安 đồn công an"
沌,ĐỘN,混沌 hỗn độn
沌,độn,"沌𦙏 độn ngực
沌葻𠓨𩠴 độn bông vào gối"
遁,ĐỘN,遁土 độn thổ
遁,trốn,"遁脫 trốn thoát
遁𧴱 trốn nợ
遁𠬉 trốn tránh"
單,ĐƠN,"孤單 cô đơn
襖單 áo đơn
床單 giường đơn
單位 đơn vị
單件 đơn kiện
單𫇿 đơn thuốc
[翻]"
疸,đớn,"疸𢤞 đớn hèn
𤴬疸 đau đớn"
㨂,đóng,"㨂𨷯 đóng cửa
㨂𢵰 đóng góp
㨂氷 đóng băng"
𠘃,đọng,"凝𠘃 ngưng đọng
囚𠘃 tù đọng"
佟,đông,"佟𤒘 đông đúc
佟𠊛 đông người
佟如蜆 đông như kiến"
東,ĐÔNG,"𱘃東 phía đông
方東 phương đông
東北 đông bắc
東洋 Đông Dương"
凍,đông,"凍冷 đông lạnh
凍勁 đông cứng"
埬,đống,𡍢埬 gò đống
同,ĐỒNG,"共同 cộng đồng
同胞 đồng bào
[翻]"
垌,đồng,"垌穭 đồng lúa
垌𬏇 đồng ruộng
垌圭 đồng quê"
桐,ĐỒNG,梧桐 ngô đồng
童,ĐỒNG,"兒童 nhi đồng
童謠 đồng dao"
僮,đồng,婆僮 bà đồng
銅,ĐỒNG,"銅壺 đồng hồ
銅錢 đồng tiền
銅鉑 đồng bạc"
瞳,ĐỒNG,瞳子 đồng tử
洞,ĐỘNG,山洞 sơn động
洞,đồng,洞海 Đồng Hới
動,ĐỘNG,"動腦 động não
摛動 lay động
感動 cảm động
盲動 manh động
不動產 bất động sản"
動,đụng,"終動 chung đụng
動𪮻 đụng chạm"
炪,đốt,"炪焒 đốt lửa
炪畑 đốt đèn
被螉炪 bị ong đốt"
𥯝,đốt,"𥯝𥯌 đốt tre
𥯝𣖙 đốt mía
𥯝𢭫𢬣 đốt ngón tay"
突,ĐỘT,"衝突 xung đột
突然 đột nhiên
突兀 đột ngột
突出 đột xuất
唐突 đường đột
[翻]"
突,đuột,"𣦎突 thẳng đuột
悛突 thuôn đuột"
腯,ĐỘT,𤠲腯 khỉ đột
𦂽,đột,"𥿤𦂽 khâu đột
𦂽斜襖 đột tà áo"
澾,đợt,"澾㳥 đợt sóng
𠄩澾衝鋒 hai đợt xung phong"
𣛭,đu,"𣛭𣛭 đu đủ
[翻]"
𣛭,đủ,𣛭𣛭 đu đủ
𨁥,đủ,"𣹓𨁥 đầy đủ
𨁥𡘯 đủ lớn
[異]覩𨇜"
𨅮,đua,𧼋𨅮 chạy đua
𢴉,đùa,"葻𢴉 bông đùa
𢴉𠹳 đùa cợt
𢴉逆 đùa nghịch"
箸,đũa,"對箸 đôi đũa
[異]𥮊"
迻,đưa,"迻迍 đưa đón
𣁲迻 đongđưa
餞迻 tiễn đưa
迻網 đưa võng"
𠀲,đứa,"𠀲於 đứa ở
𠀲𥘷 đứa trẻ"
𤒘,đúc,"𤒘結 đúc kết
佟𤒘 đông đúc
爐𤒘 lò đúc
燶𤒘 nung đúc
[異]𨯹"
濁,đục,"渃濁 nước đục
磟濁 lục đục
𢭬濁𢵱沖 gạn đục khơi trong
[翻]"
濁,rục,濁𤃝 rục rịch
濁,trộc,濁擲 trộc trệch
德,ĐỨC,"德行 đức hạnh
道德 đạo đức
德佛 đức Phật
㗂德 tiếng Đức
[翻]"
倲,đúng,"倲耒 đúng rồi
倲捵 đúng đắn
倲墨 đúng mực
𠄼𣇞倲 năm giờ đúng"
哃,đùng,哃哃 đùng đùng
𨅸,đứng,"𨅸𧻭 đứng dậy
𨅸𣈖 đứng bóng
勢𨅸 thế đứng
[異]𥪸"
揨,đừng,"揨哭 đừng khóc
揨𠫾 đừng đi
[異]停"
撜,đựng,"𠹾撜 chịu đựng
丐𣛥撜𨢇 cái be đựng rượu
[翻]"
脽,đuôi,"頭脽 đầu đuôi
脽船 đuôi thuyền
[異]𡳪"
𨘗,đuổi,"蹺𨘗 theo đuổi
打𨘗 đánh đuổi
𨁰𨘗 xua đuổi
[異]𨆷"
濧,đuối,"𪽳濧 yếu đuối
㴷濧 đắm đuối"
唐,ĐƯỜNG,"唐突 đường đột
茹唐 nhà Đường"
棠,ĐƯỜNG,海棠 hải đường
塘,đường,"塘圫 đường sá
塘鉄 đường sắt"
塘,đàng,"塘𥪝 Đàng Trong
塘外 Đàng Ngoài
⇔塘đường"
糖,ĐƯỜNG,"質糖 chất đường
𤮾如糖 ngọt như đường"
賥,đút,"賥䘹 đút lót
賥𨨷 đút nút
賥襊 đút túi
[翻]"
䋎,đứt,"割䋎 cắt đứt
䋎𢭮 đứt gãy
[翻]"
㥋,e,"㥋麗 e lệ
㥋懝 e ngại"
𠲖,ê,"𠲖阿 ê a
𠲖痆 ê chề
[翻]"
𤷴,ê,𤷴𤀔 ê ẩm
螠,ếch,"𡥵螠 con ếch
螠橅花 ếch vồ hoa
螠𱖗底井 ếch ngồi đáy giếng
[翻]"
㛪,em,"㛪𡛔 em gái
㛪𤳆 em trai"
淹,êm,"淹妸 êm ả
淹沁 êm thấm
[翻]"
𥩤,ga,𥩤車焒 ga xe lửa
𪃿,gà,"𪃿㹟 gà qué
𪃿𪆼 gà lôi
𪃿𥊚 gà mờ
𥆄𪃿 quáng gà"
𡥚,gã,𠬠𡥚書生 một gã thư sinh
擱,gác,"更擱 canh gác
[翻]"
𩠓,gặc,𩠧𩠓 gục gặc
𩠓,gật,"𩠓𠵎 gật gù
𥄬𩠓 ngủ gật
[翻]"
坧,gạch,"墻坧 tường gạch
坧𧍆 gạch cua"
荄,gai,"荄𧣳 gai góc
㑲荄𫫞𦟽 nằm gai nếm mật
餅荄 bánh gai
[翻]"
𦃮,gai,"𣘃𦃮 cây gai
縐𦃮 sô gai"
𡛔,gái,"𡥵𡛔 con gái
伴𡛔 bạn gái"
垓,gay,"垓𦁣 gay go
垓硍 gay cấn
垓噶 gay gắt"
𢭮,gãy,"𢯏𢭮 bẻ gãy
𢭮𢭰 gãy đổ
䋎𢭮 đứt gãy"
𢭮,gẫy,⇔𢭮gãy
胲,gây,"苿胲 mùi gây
𬚸𤠰胲胲 thịt gấu gây gây"
𨠳,gây,"𨠳戰 gây chiến
𨠳𲂪 gây vốn
𨠳𫥨 gây ra
𨠳𥞖 gây giống
𨠳𥾃 gây men
𨠳古 gây gổ
[異]𨢟"
𤷍,gầy,"𤷍𤷱 gầy mòn
𤷍𪸽 gầy đét"
梞,gậy,"𣘃梞 cây gậy
[翻]"
𧃃,gắm,"𧃃𡶀 gắm núi
絏𧃃 dây gắm
寄𧃃 gửi gắm"
㖗,gầm,"㖗𠯦 gầm thét
[翻]"
檊,gán,"檊𢯖 gán ghép
檊罪 gán tội"
𮇜,gắn,"𮇜抪 gắn bó
焊𮇜 hàn gắn
[翻]"
挭,gánh,桄挭 quang gánh
𪡱,gao,噶𪡱 gắt gao
哠,gào,"哠𠯦 gào thét
叫哠 kêu gào
[翻]"
𥽌,gạo,"籺𥽌 hạt gạo
迆𥽌 giã gạo"
﨤,gặp,"﨤攑 gặp gỡ
﨤𣋑 gặp dịp
常﨤 thường gặp
𱍿過空﨤 lâu quá không gặp
[翻]"
扱,gấp,"扱曲 gấp khúc
扱𱑕 gấpmười
扱冊徠 gấp sách lại
欣扱𠀧吝 hơn gấp ba lần"
𢶆,gạt,"𢶆𠬃 gạt bỏ
𢶆𧴱 gạt nợ"
噶,gắt,"㤧噶 cáu gắt
𤮾噶 ngọt gắt
垓噶 gay gắt"
秸,gặt,秸𢲨 gặt hái
𦵷,gấu,"𦹯𦵷 cỏ gấu
榘𦵷 củ gấu
[翻]"
𤠰,gấu,"𡥵𤠰 con gấu
𤠰竹 gấu trúc"
褠,gấu,"褠襖 gấu áo
褠裙 gấu quần"
踦,ghé,"踦蹎 ghé chân
踦眜 ghé mắt
踦𦖻吶忱 ghé tai nói thầm
船踦𤅶 thuyền ghé bến"
𭌲,ghê,"𩙍𡘯𭌲 gió lớn ghê
[翻]"
𧦕,ghế,"𧦕𱖗 ghế ngồi
𧦕斗 ghế đẩu
𧦕𩚵 ghế cơm
[異]槣"
慳,ghen,"打慳 đánh ghen
慳𡀢 ghen tuông
[翻]"
𢯖,ghép,"𢯖𬄺 ghép mộng
[翻]"
恄,ghét,"讎恄 thù ghét
[翻]"
𥱬,ghi,"𥱬音 ghi âm
𥱬𠸜 ghi tên
𥱬𢖵 ghi nhớ
𦭷𥱬 màu ghi
[翻]"
𦁣,go,"縸𦁣𦂾𡲫 mắc go dệt vải
垓𦁣 gay go
[翻]"
𡍢,gò,"𡍢埬 gò đống
𡍢𦟐 gò má"
𢫈,gõ,"𢫈𨷯 gõ cửa
部𢫈 bộ gõ
[異]𢱗"
𢫈,khỏ,⇔𢫈gõ
楛,gỗ,"𣘃楛 cây gỗ
板楛 phản gỗ
捁楛 kéo gỗ
[異]椇"
攑,gỡ,"攑黹 gỡ chỉ
攑㓢 gỡ gạc
()"
𧣳,góc,"𣃱𧣳 vuông góc
荄𧣳 gai góc"
㭲,gốc,"㭲𣘃 gốc cây
源㭲 nguồn gốc
[翻]"
襘,gói,"麪襘 mì gói
𠓻襘 trọn gói
[翻]()"
噲,gọi,"噲𱺵 gọi là
𠸜噲 tên gọi
()"
𨆝,gối,"頭𨆝 đầu gối
()"
𩠴,gối,"襖𩠴 áo gối
𩠴頭 gối đầu
()"
㨳,gợi,"㨳意 gợi ý
㨳𢖵 gợi nhớ
㨳感 gợi cảm"
𠁟,gồm,"包𠁟 bao gồm
[異]𡗄"
菅,gon,菅埬𥟉 gon đống thóc
緄,gòn,"𧜖棍 chăn gòn
[翻]"
杠,gông,"杠檎 gông cùm
[翻]"
𢵰,góp,"𢵰抇 góp nhặt
𢵰意 góp ý
㨂𢵰 đóng góp
[翻]"
𨃴,gót,"𩌂𠾲𨃴 giầy vẹt gót
[翻]"
𠵎,gù,"㗂𪀄𠵎 tiếng chim gù
𩠓𠵎 gật gù
[翻]"
㖵,gừ,㖗㖵 gầm gừ
𩠧,gục,"𩠧頭 gục đầu
𨁟𩠧 ngã gục
[翻]"
𦎛,gương,"𦎛㑄 gương mẫu
𦎛𩈘 gương mặt
𦎛蓮 gương sen"
之,gì,"丐之 cái gì
空固之 không có gì
[異]咦"
之,chi,⇔之gì
加,GIA,"加速 gia tốc
加恩 gia ân
加倍 gia bội
[翻]"
家,GIA,"家庭 gia đình
家用 gia dụng
儒家 nho gia"
嘉,GIA,"嘉定 Gia Định
嘉隆 Gia Long"
者,GIẢ,"記者 kí giả
聽者 thính giả
作者 tác giả
長者 trưởng giả"
假,GIẢ,"假裝 giả trang
假𫿒 giả vờ
假樣 giả dạng"
假,GIÁ,"假如 giá như
⇔假giả"
架,GIÁ,"架畑 giá đèn
架冊 giá sách"
嫁,GIÁ,出嫁 xuất giá
嫁,gả,"嫁𫯳 gả chồng
嫁𬥓 gả bán"
稼,giá,稼豆 giá đỗ
價,GIÁ,"價值 giá trị
物價 vật giá"
價,cả,嚜價 mặc cả
駕,GIÁ,護駕 hộ giá
𬰊,giá,"冷𬰊 lạnh giá
𬰊洌 giá rét"
伽,GIÀ,伽藍 già lam
𫅷,già,"𫅷𪥘󠄁 già cả
𤞺𫅷 cáo già
[異]𦓅"
偖,giã,𠽖偖 giục giã
角,GIÁC,"三角 tam giác
觸角 xúc giác
獨角 độc giác
犀角 tê giác
[翻]"
覺,GIÁC,"覺官 giác quan
感覺 cảm giác
味覺 vị giác
幻覺 ảo giác
覺悟 giác ngộ
聽覺 thính giác"
𥋏,giấc,"𥋏𢠩 giấc mơ
[翻]"
佳,GIAI,"佳人 giai nhân
佳話 giai thoại
[翻]"
階,GIAI,"階段 giai đoạn
階級 giai cấp
階調 giai điệu"
解,GIẢI,"押解 áp giải
辯解 biện giải
解剖 giải phẫu
𠫾解 đi giải"
螮,giải,𡥵螮 con giải
蟹,GIẢI,笘𣇟巨蟹 chòm sao Cự Giải
𩌂,giày,對𩌂 đôi giày
𩌂,giầy,⇔𩌂giày
𣆰,giây,"𣆰𣋩 giây lát
𣆰丿 giây phút"
監,GIAM,"監擒 giam cầm
茹監 nhà giam
監𡨺 giam giữ
監𠬠數錢𡘯 giam một số tiền lớn
[翻]"
監,GIÁM,"監督 giám đốc
監獄 giám ngục
監察 giám sát
監護 giám hộ
[翻]"
減,GIẢM,"減價 giảm giá
衰減 suy giảm
痊減 thuyên giảm
減抔 giảm bớt
加減 gia giảm"
鑑,GIÁM,"鑑定 giám định
鑑別 giám biệt"
奸,GIAN,"奸嚉 gian dối
奸巧 gian xảo
奸臣 gian thần"
姦,GIAN,"姦淫 gian dâm
強姦 cưỡng gian"
間,GIAN,"時間 thời gian
人間 nhân gian
中間 trung gian
[翻]"
間,GIÁN,"間諜 gián điệp
間接 gián tiếp
離間 li gián
間斷 gián đoạn
[翻]"
艱,GIAN,"艱勞 gian lao
艱苦 gian khổ
艱難 gian nan
艱險 gian hiểm
艱困 gian khốn"
簡,GIẢN,"單簡 đơn giản
簡易 giản dị"
僴,giãn,舒僴 thư giãn
僴,dãn,⇔僴giãn
𢚷,giận,"𢚷㘋 giận hờn
𢚷㺞 giận dữ
𠺒𢚷 tức giận
[翻][異]𢠣"
江,GIANG,"江湖 giang hồ
江山 giang sơn
𠐞江 giỏi giang
[翻]"
江,giàng,"𡨺江 giữ giàng
[翻]"
𥬮,giang,"𣘃𥬮 cây giang
橛𥬮 quạt giang"
講,GIẢNG,"講解 giảng giải
講𠰺 giảng dạy"
降,GIÁNG,"昇降 thăng giáng
降生 giáng sinh
降級 giáng cấp"
降,HÀNG,投降 đầu hàng
掙,giành,"爭掙 tranh giành
掙𪮞 giành giật
掙權利 giành quyền lợi"
交,GIAO,"交易 giao dịch
交通 giao thông
交遊 giao du
結交 kết giao
交和 giao hoà
[翻]"
教,GIÁO,"佛教 Phật giáo
請教 thỉnh giáo"
槊,giáo,"槊𢨃 giáo mác
鎌槊 gươm giáo"
槊,sác,汕槊 sớn sác
甲,GIÁP,"盔甲 khôi giáp
甲冑 giáp trụ
腺甲 tuyến giáp
[翻]"
夾,GIÁP,"夾𩈘 giáp mặt
夾界 giáp giới"
夾,kép,"杈夾 xà kép
[翻]"
𣾹,giặt,"𣾹𱡃 giặt giũ
𣛠𣾹 máy giặt
[翻]"
𪮞,giật,"掙𪮞 giành giật
[翻]"
𪮞,giần,"𪮞𪮞 giần giật
⇔𪮞giật"
𪮞,giựt,⇔𪮞giật[翻]
𢀭,giàu,"𢀭固 giàu có
𢀭猛 giàu mạnh
渃𢀭 nước giàu"
𢀭,giầu,⇔𢀭giàu
𢭳,giấu,"隱𢭳 ẩn giấu
𢭳掂 giấu giếm
[翻][異]𨁪"
𢭳,dấu,⇔𢭳giấu
𢭳,giu,"𢭳𢭳 giu giú
⇔𢭳giú"
𢭳,giú,"𢭳𢭳 giu giú
⇔𢭳giấu"
掂,giếm,"𢭳掂 giấu giếm
[翻]"
掂,diếm,"𢭳掂 giấu diếm
⇔掂giếm"
井,giếng,掏井 đào giếng
井,sểnh,寵井 sổng sểnh
井,tễnh,集井 tập tễnh
𦀚,giềng,𦀚䋦 giềng mối
𪶎,gieo,"𪶎𢳯 gieo rắc
[翻]"
𨦬,giết,"𨦬𣩂 giết chết
𨦬害 giết hại"
𢷹,gìn,"𡨺𢷹 giữ gìn
[翻]"
䇠,giỏ,"丐䇠 cái giỏ
[異]𥶇"
𩙍,gió,"𩙍雹 gió bão
𩙍𬁒 gió mùa
[翻][異]𲋊𩙋"
𥣒,giỗ,"𥣒忌 giỗ kị
𥣒臘 giỗ chạp"
捈,giơ,"捈𢬣 giơ tay
[翻]"
𣇞,giờ,"包𣇞 bao giờ
𣇞𥋏 giờ giấc
現𣇞 hiện giờ
時𣇞 thì giờ
[異]除"
𠐞,giỏi,"𠐞江 giỏi giang
[翻]"
戒,GIỚI,"戒嚴 giới nghiêm
警戒 cảnh giới
破戒 phá giới
勸戒 khuyến giới
五戒 ngũ giới"
戒,cai,"戒𢞆 cai nghiện
戒𣷱 cai sữa"
芥,GIỚI,荊芥 kinh giới
芥,cải,"蔞芥 rau cải
芥花 cải hoa"
界,GIỚI,"界限 giới hạn
邊界 biên giới
女界 nữ giới
境界 cảnh giới"
械,GIỚI,機械 cơ giới
誡,GIỚI,告誡 cáo giới
𧋹,giời,"𡥵𧋹 con giời
𧋹蹽 giời leo
[異]𧐹"
𡅉,giỡn,"吶𡅉 nói giỡn
𡅉𩈘 giỡn mặt
𢴉𡅉 đùa giỡn
𨔈𡅉 chơi giỡn"
梇,gióng,"梇𣖙 gióng mía
梇檜 gióng củi"
梇,lóng,⇔梇gióng
𠰩,giọng,"𪮞𠰩 giật giọng
𠰩吶 giọng nói
[異]喠"
𥞖,giống,"𨠳𥞖 gây giống
𥞖類 giống loài
𣳔𥞖 dòng giống
𥞖僥 giống nhau
𥞖如 giống như
[翻][異]𠏳"
𥞖,giông,"𥞖𥞖 giông giống
⇔𥞖giống[翻]"
湥,giọt,"湥𩄎 giọt mưa
湥淚 giọt lệ
[翻]"
湥,sặt,湥𡊳 sặt sành
𡨺,giữ,"監𡨺 giam giữ
𡨺𥙩 giữ lấy
留𡨺 lưu giữ
扒𡨺 bắt giữ
𡨺𢷹 giữ gìn"
𡧲,giữa,"於𡧲 ở giữa
𡧲澄 giữa chừng
[異]𫡉"
𠽖,giục,"𠽖偖 giục giã
𢭻𠽖 xúi giục
促𠽖 thúc giục
𠽖𢚸 giục lòng
[翻]"
𧉙,giun,𧉙𡐙 giun đất
𧉙,run,⇔𧉙giun
𧉙,trùn,"𡥵𧉙 con trùn
⇔𧉙giun[翻]"
床,giường,"床𥄬 giường ngủ
床𰨂 giường thờ
床單 giường đơn
巾𱱇床 khăn trải giường"
𢴇,giúp,"𢴇扡 giúp đỡ
助𢴇 trợ giúp
[翻][異]執"
哬,ha,哬哬 ha ha
嘑,hả,嘑𭌟 hả hê
𠹛,há,"𠹛𠵘 há mồm
𠹛嘝 há hốc"
何,HÀ,"何必 hà tất
奈何 nại hà
何首烏 hà thủ ô"
苛,HÀ,"苛刻 hà khắc
苛賤 hà tiện
苛脅 hà hiếp
苛濫 hà lạm
苛𠽍 hà rầm"
呵,hà,呵唏 hà hơi
河,HÀ,"山河 sơn hà
河馬 hà mã"
荷,HÀ,"薄荷 bạc hà
荷蘭 Hà Lan"
蚵,hà,"蚵㴜 hà biển
榘𧃷蚵 củ khoai hà
蚵𤔻 hà móng"
遐,HÀ,"崩遐 băng hà
升遐 thăng hà"
下,HẠ,"天下 thiên hạ
候下 hầu hạ
下幔 hạ màn
下價 hạ giá
下決心 hạ quyết tâm"
夏,HẠ,"夏至 hạ chí
春夏秋冬 xuân hạ thu đông"
夏,hè,"頭夏 đầu hè
儗夏 nghỉ hè"
賀,HẠ,"慶賀 khánh hạ
祝賀 chúc hạ
賀功 hạ công"
暇,HẠ,閒暇 nhàn hạ
赫,HÁCH,赫奕 hách dịch
核,HẠCH,"核算 hạch toán
熱核 nhiệt hạch
核索 hạch sách
疫核 dịch hạch"
𠄩,hai,"𣎃𠄩 tháng hai
𠬠𠄩 một hai"
海,HẢI,"海洋 hải dương
海軍 hải quân
沿海 duyên hải
海產 hải sản
海港 hải cảng"
海,hới,洞海 Đồng Hới
𢲨,hái,𦧜𢲨 lưỡi hái
骸,HÀI,"遺骸 di hài
屍骸 thi hài"
諧,HÀI,"諧謔 hài hước
詼諧 khôi hài
諧和 hài hoà
諧𢚸 hài lòng
諧劇 hài kịch"
駭,HÃI,"𢜝駭 sợ hãi
驚駭 kinh hãi"
害,HẠI,"折害 thiệt hại
固害 có hại
侵害 xâm hại"
咍,hay,"朱咍 cho hay
咍𠯖 hay ho
咍𱺵 hay là
[翻][異]𫨩"
𫻎,ham,"𫻎𡮶 ham chuộng
𫻎迷 ham mê
𫻎唬 ham hố"
含,HÀM,"包含 bao hàm
含冤 hàm oan
含意 hàm ý
含笑 hàm tiếu
含量 hàm lượng"
含,ngoàm,岩含 ngồm ngoàm
函,HÀM,"函數 hàm số
函授 hàm thụ
公函 công hàm
[翻]"
函,hòm,"函䇸 hòm xiểng
𢬣函匙銙 tay hòm chìa khoá
撻𠊛𣩂濧𠓨函 đặt người chết đuối vào hòm
𤗆役㐌函耒 mọi việc đã hòm rồi"
𦛜,hàm,"𬗜𦛜 quai hàm
𪘵𦛜 răng hàm"
銜,HÀM,"品銜 phẩm hàm
軍銜 quân hàm
學銜 học hàm"
陷,HÃM,"陷害 hãm hại
監陷 giam hãm
圍陷 vây hãm"
陷,hỏm,陷陷 hom hỏm
陷,hom,"陷陷 hom hỏm
⇔陷hỏm"
啗,hãm,"啗茶 hãm trà
啗血 hãm tiết"
艦,HẠM,戰艦 chiến hạm
𢣇,hăm,"𢣇𡁱 hăm he
𢣇𢠇 hăm hở
𢣇唑 hăm doạ"
歆,HÂM,"歆慕 hâm mộ
[翻]"
𡌢,hầm,"層𡌢 tầng hầm
塘𡌢 đường hầm"
漢,HÁN,"漢喃 Hán Nôm
阿羅漢 A La Hán
𡨸漢 chữ Hán
好漢 hảo hán
漢字 Hán tự"
漢,hớn,好漢 hảo hớn
焊,HÀN,"焊𮇜 hàn gắn
焊口 hàn khẩu
焊堤 hàn đê"
寒,HÀN,"大寒 đại hàn
貧寒 bần hàn
傷寒 thương hàn
寒暄 hàn huyên
寒林所 hàn lâm sở"
