Character,Reading,Examples
𢗌,bạ,𫌶𢗌 bậy bạ
簿,BẠ,名簿 danh bạ
簿,BỘ,"登簿 đăng bộ
鄉簿 hương bộ"
礮,bác,大礮 đại bác
薄,BẠC,"負薄 phụ bạc
背薄 bội bạc
薄𤾷 bạc phếch
薄殍 bạc bẽo"
礴,BẠC,磅礴 bàng bạc
北,BẮC,"方北 phương bắc
東北 đông bắc
北愛縺 Bắc Ai-len"
北,bấc,𩙍北 gió bấc
𢫣,bắc,𢫣橋 bắc cầu
堛,bậc,"級堛 cấp bậc
越堛 vượt bậc
𠬠堛聖人 một bậc thánh nhân
[翻]"
堛,bực,⇔堛bậc[翻]
百,BÁCH,"百合 bách hợp
百科 bách khoa
百貨 bách hoá
百姓 bách tính"
迫,BÁCH,"急迫 cấp bách
逼迫 bức bách
窘迫 quẫn bách
滌迫 sạch bách"
柏,BÁCH,"松柏 tùng bách
柏傘 bách tán"
白,BẠCH,"白金 bạch kim
明白 minh bạch
辯白 biện bạch
剒白 tách bạch"
㕷,bạch,𤃝㕷 lạch bạch
沛,BÁI,安沛 Yên Bái
沛,phải,"邊沛 bên phải
沛債 phải trái
沛𫜵哰 phải làm sao
沛如勢 phải như thế"
拜,BÁI,"崇拜 sùng bái
拜別 bái biệt
[翻]"
拜,vái,"懇拜 khấn vái
拜𥚄 vái lạy"
排,BÀI,"安排 an bài
排除 bài trừ
排兵布陣 bài binh bố trận"
排,bài,"排習 bài tập
排詩 bài thơ"
排,bày,"呈排 trình bày
𤐃排 giãi bày
徵排 trưng bày"
排,bầy,⇔排bày
牌,BÀI,"金牌 kim bài
牌位 bài vị
牌博 bài bạc"
罷,BÃI,"罷工 bãi công
罷兵 bãi binh
()"
𡓁,bãi,"𡓁𡋥 bãi cát
𡓁㴜 bãi biển
()"
敗,BẠI,"打敗 đánh bại
敗露 bại lộ
𥟹敗 lụi bại
勝敗 thắng bại
敗將 bại tướng
腐敗 hủ bại"
𢒎,bay,"𣛠𢒎 máy bay
𢒎𧊉 bay bướm
𢒎𫅤 bay lượn
[異]𠖤𩙻"
𠎩,bay,衆𠎩 chúng bay
𠎩,bây,⇔𠎩bay
𠤩,bảy,"𠤩𱑕 bảy mươi
次𠤩 thứ bảy
()"
𠤩,bẩy,⇔𠤩bảy
𱢤,bấy,"𱢤𣇞 bấy giờ
𱢤𱍿 bấy lâu
[異]閉"
𠍣,bầy,"𠍣碎 bầy tôi
𠍣𤢿 bầy sói
𠍣𤞺 bầy cáo"
擺,bẫy,"蹉𠓨擺 sa vào bẫy
()"
𫌶,bậy,𫌶𢗌 bậy bạ
𢵉,bám,"咹𢵉 ăn bám
[翻]"
稟,BẨM,"稟報 bẩm báo
賦稟 phú bẩm
𡀫稟 lẩm bẩm
[翻]"
班,BAN,"班𣎀 ban đêm
班曥 ban trưa
班頭 ban đầu
班編輯 ban biên tập
[翻]"
班,buôn,班迷屬 Buôn Ma Thuột
𦶾,ban,"花𦶾 hoa ban
𦶾西北 Ban Tây Bắc"
頒,BAN,"頒朱 ban cho
頒發 ban phát
𠸒頒 bảo ban"
本,BẢN,"基本 cơ bản
日本 Nhật Bản"
本,BỔN,"本分 bổn phận
本王 bổn vương
本報 bổn báo"
坂,bản,"坂廊 bản làng
坂社 bản xã"
板,BẢN,"木板 mộc bản
板𦃾 bản lề"
板,phản,板楛 phản gỗ
板,ván,𬌓板 tấm ván
版,BẢN,"出版 xuất bản
版草 bản thảo
再版 tái bản"
半,BÁN,"半島 bán đảo
北半球 bắc bán cầu
半𤯩半𣩂 bán sống bán chết"
𬥓,bán,"𧷸𬥓 mua bán
𬥓行 bán hàng"
𠴞,bàn,"𠴞𠳚 bàn cãi
𠴞博 bàn bạc
𠴞論 bàn luận
𠴞𠾎 bàn tán
[異]𡂑"
槃,BÀN,涅槃 niết bàn
磐,BÀN,磐石 bàn thạch
盤,BÀN,"盤羅 bàn là
琫盤 bóng bàn
地盤 địa bàn
盤棋 bàn cờ
盤𧦕 bàn ghế
()"
伴,BẠN,"伴佊 bạn bè
結伴 kết bạn
伴共笠 bạn cùng lớp"
伴,vạn,伴䊷 vạn chài
叛,BẠN,叛逆 bạn nghịch
𠺚,băn,𠺚𡂷 băn khoăn
𢏑,bắn,"𢏑銃 bắn súng
𢏑信 bắn tin
𢏑箭 bắn tên"
𣵲,bẩn,"𣵲吵 bẩn thỉu
洳𣵲 nhơ bẩn
垢𣵲 cáu bẩn
膠𣵲 keo bẩn"
邦,BANG,"小邦 tiểu bang
聯邦 liên bang
番邦 phiên bang"
幫,BANG,"丐幫 cái bang
幫會 bang hội
幫派 bang phái"
榜,BẢNG,"榜眼 bảng nhãn
副榜 phó bảng
榜黰 bảng đen
榜統計 bảng thống kê
𤥑鬥榜 vòng đấu bảng"
榜,bảng,榜𨅉 bảng lảng
榜,BÀNG,彷徨 bàng hoàng
榜,PHẢNG,"彷彿 phảng phất
[翻]"
榜,vưởng,沕彷 vất vưởng
㥬,bàng,"𢜢㥬 bẽ bàng
坌㥬 bộn bàng"
膀,BÀNG,膀胱 bàng quang
磅,BÀNG,磅礴 bàng bạc
龐,BÀNG,"鴻龐 Hồng Bàng
𣱆龐 họ Bàng"
氷,BĂNG,"㨂氷 đóng băng
氷𬰊 băng giá
氷翁 băng ông"
氷,bâng,"氷傾 bâng khuâng
氷撾 bâng quơ"
崩,BĂNG,"崩遐 băng hà
崩駕 băng giá
崩血 băng huyết
𣇟崩 sao băng"
