       	 -a/ă	 -ai/ay	 -ao/au	 -am/ăm	 -an/ăn	 -ang/ăng	 -áp/ắp	 -át/ắt	 -ác/ắc	 -e/ê	 -eo/êu	 -em/êm	 -en/ên	 -anh/ênh	 -ép/ếp	 -ét/ết	 -ách/ếch	 -i(y)	 -iu	 -im/ym	 -in	 -inh	 -íp/ýp	 -ít	 -ích/ých	 -o/ô	 -oi/ôi	 -om/ôm	 -on/ôn	 -ong/ông	 -óp/ốp	 -ót/ốt	 -óc/ốc	 -ơ/ư/â	 -ơi/ây/ưi	 -âu/ưu	 -ơm/âm	 -ơn/ân	 -âng/ưng	 -ớp/ấp	 -ớt/ất/ứt	 -ấc/ức	 -u	 -ui	 -um	 -un	 -ung	 -úp	 -út	 -úc
l-     	 羅  	 萊    	 勞    	 藍    	 蘭    	 浪      	 臘    	 𤁕    	 樂    	 黎  	 嘹    	 𠿳    	 縺    	 令      	 𥼕    	 𥉬    	 儮      	 璃   	 𠮩 	 𣜰    	 連 	 玲  	 㕸    	 𡊻 	 歷      	 露  	 蕾    	 𤒢    	 㖮    	 弄      	 苙    	 䘹    	 祿    	 慮    	 唻       	 琉    	 臨    	 麟    	 淩      	 立    	 㗚       	 力    	 瀘	 𨆢 	 𡄁 	 𣼍 	 瓏  	 𧙀 	 𣼧 	 陸
m-     	 麻  	 枚    	 𦭷    	 𡕩    	 漫    	 笀      	 𦚖    	 末    	 莫    	 迷  	 𠰭    	 繌    	 綿    	 溟      	 𠵐    	 瀎    	 𥊋      	 眉   	 喵 	 𠲶    	 絻 	 明  	 㕨    	 𩆪 	 寞      	 模  	 䋦    	 𠵘    	 門    	 蒙      	 漞    	 蔑    	 木    	 𣙪    	 𩄲       	 牟    	 𦹰    	 玟    	 𢜠      	 眨    	 密       	 𣞪    	 霧	 𪖫 	 𦟣 	 椚 	 幪  	 䏎 	 𡃙 	 睦
n-     	 那  	 抳    	 瑙    	 南    	 𡅧    	 能      	 蒳    	 㖏    	 喏    	 呢  	 𪲍    	 揇    	 𦮴    	 儜      	 䌰    	 涅    	 逽      	 尼   	 𫼩 	 粘    	 𠲃 	 寧  	 𥷨    	 𦄇 	 𡀡      	 呶  	 內    	 喃    	 嫩    	 農      	 納    	 訥    	 𣕬    	 𦀨    	 乃       	 𣘽    	 菍    	 嫨    	 㨢      	 汭    	 㘿       	 𱕔    	 𦬻	 𡶀 	 埝 	 蕽 	 儂  	 𥧩 	 𨨷 	 𠴐
ng/ngh-	 俄  	 皚    	 傲    	 𥋴    	 嵃    	 昂      	 哈    	 𠿸    	 愕    	 𠊙  	 隢    	 噖    	 喭    	 迎      	       	 𢌎    	 𥉥      	 霓   	    	 㘙    	 𠦳 	     	 業    	 𠑦 	 逆      	 吳  	 𤬪    	       	 言    	 嗊      	       	 兀    	 玉    	 御    	 𠿿       	 湡    	 吟    	 垠    	 凝      	 汲    	 𡴯       	 𦙏    	 寓	 哎 	 喁 	 𤉘 	 㥥  	 𩓛 	 𩂁 	 獄
nh-    	 牙  	 涯    	 𬇣    	 𥄮    	 顏    	 瓖      	 𡊠    	 𡥌    	 岳    	 㖇  	 嘵    	 𣲹    	 遃    	 𤾱      	 囁    	 𪷴    	 𭞣      	 兒   	 皺 	 𤢾    	 𥆾 	     	 喋    	 𱎰 	 蹢      	 儒  	 𡃽    	 恁    	 𠾽    	 𧻪      	       	 𡇻    	 傉    	 洳    	 徍       	 𠻼    	 任    	 仁    	 扔      	 入    	 日       	 𢩮    	 柔	    	 𢪭 	 䠣 	 茸  	    	 葖 	 肉
ph-    	 玻  	 派    	 𠴋    	 范    	 潘    	 彷      	 法    	 發    	 樸    	 啡  	 咆    	 泛    	 番    	 膨      	 珐    	 㗶    	 𤾷      	 菲   	 慓 	 𣆅    	 芬 	 𠶏  	       	 閥 	 澼      	 哺  	 配    	 𠆩    	 繁    	 風      	 𪾁    	 彿    	 䟔    	 𠱀    	 𤇨       	 剖    	 品    	 紛    	 炐      	 怫    	 弗       	 馥    	 富	 抷 	    	 濆 	 奉  	    	 丿 	 福
qu-    	 戈  	 𬗜    	 𫽿    	 𣰙    	 冠    	 光      	 𣌵    	 括    	 啒    	 圭  	 𨙍    	       	 慣    	 𨒺      	       	 𢭯    	         	 季   	    	       	 均 	 瓊  	       	 𢵮 	         	     	       	       	       	         	       	       	 國    	       	 𡇸       	       	       	 君    	         	       	 橘       	       	   	    	    	    	     	    	    	 
r-     	 𤄷  	 𡃄    	 蔞    	 𫄊    	 灡    	 𤎜      	 𠪸    	 𤌣    	 𫄈    	 𥗍  	 嗂    	 簾    	 㷙    	 𠴔      	 躐    	 𠺅    	 藶      	 𠶋   	 𠲢 	 燫    	 湅 	 侱  	 𣋑    	 𦀎 	 嚦      	 𬰹  	 檑    	 𩫦    	 𡀷    	 𠖿      	 爉    	 𣹕    	 𢮑    	 𠴊    	 逨       	 𩯁    	 葚    	 囒    	 𡹃      	 摺    	 溧       	 熤    	 𠱋	 𢤡 	 𠾣 	 憞 	 苚  	    	 𫉡 	 唷
s-     	 沙  	 𡗂    	 𣒲    	 攕    	 珊    	 創      	 𢯛    	 剎    	 色    	 仕  	 䳂    	 𤑯    	 蓮    	 浧      	 𠊔    	 𣻂    	 呎      	 𬃗   	    	 槮    	 傎 	 生  	 𰈤    	 𬿺 	 𨇗      	 縐  	 𤐝    	 嚵    	 𣘈    	 雙      	 𣙫    	 𨔊    	 朔    	 使    	 𥾘       	 㮴    	 岑    	 杣    	 𧤁      	 𭰪    	 𠿰       	 飾    	 蒭	 𥹯 	 侺 	 噀 	 充  	 𨀎 	 淬 	 槒
t-     	 佐  	 哉    	 造    	 吣    	 散    	 桑      	 咂    	 薩    	 則    	 濟  	 悄    	 𣑷    	 箭    	 惺      	 𩹫    	 緤    	 唶      	 卑   	 嘬 	 𦻳    	 信 	 星  	 𠐉    	 㘉 	 夕      	 蘇  	 綷    	 𥿂    	 尊    	 宗      	 𠇽    	 卒    	 速    	 絲    	 洗       	 就    	 尋    	 秦    	 曾      	 習    	 悉       	 息    	 秀	 襊 	 𥳍 	 澊 	 頌  	 𦭧 	 𢫫 	 續
th-    	 他  	 台    	 韜    	 瀋    	 坦    	 昇      	 塔    	 紩    	 拓    	 世  	 絩    	 添    	 杄    	 𢉑      	 𨨧    	 𠯦    	 逖      	 施   	 吵 	 嬸    	 辰 	 盛  	 涉    	 𬚸 	 釋      	 湫  	 梭    	 啿    	 寸    	 通      	 𡀾    	 椊    	 𥟉    	 舒    	 㕧       	 透    	 沁    	 親    	 繩      	 什    	 實       	 識    	 秋	 蹆 	    	    	 樁  	    	 浖 	 束
tr-    	 查  	 齋    	 潮    	 𤾓    	 𣼼    	 莊      	 匧    	 淖    	 卓    	 𥯌  	 𤽀    	 怗    	 𨑗    	 爭      	 𠿠    	 𬿮    	 澤      	 知   	 𢩪 	 霑    	 纏 	 貞  	 輒    	 𥉭 	 摘      	 徂  	 㵢    	 𥌈    	 圇    	 仲      	       	 𢫖    	 𬴭    	 助    	 𡗶       	 𦺓    	 沈    	 珍    	 徵      	 縶    	 秩       	 直    	 宙	 𪳹 	 𠆳 	 𧉙 	 忠  	    	 䢖 	 竺
v-     	 𠇕  	 𦠘    	 𠓨    	 𦡣    	 文    	 㘇      	 叭    	 仈    	 𱠲    	 衛  	 𣍅    	 䗊    	 綄    	 儝      	 𠵽    	 樾    	 辟      	 韋   	 𬗠 	 𥁷    	 援 	 永  	       	 𥿀 	 𩼢      	 𥿠  	 㖣    	 𪢵    	 𡻖    	 望      	 𧉈    	 浡    	 𦄾    	 噅    	 潙       	 𤓺    	 𠢝    	 紜    	 𠳐      	 𰸣    	 物       	 域    	 于	 𢝙 	 抆 	 砵 	 𢜗  	    	 挬 	 𢷏
x-     	 奢  	 喍    	 巧    	 駸    	 燦    	 涳      	 濈    	 嚓    	 確    	 𦀺  	 𠾸    	 䀡    	 釧    	 青      	 攝    	 察    	 𪜻      	 嗤   	 𡭰 	 𣴒    	 傎 	 𦎡  	 淁    	 哳 	 赤      	 搊  	 㵊    	 𥯎    	 𠮿    	 歱      	 𣐝    	 㤕    	 㒔    	 綀    	 𡏦       	 𦄓    	 侵    	 𢺛    	 稱      	 𢵸    	 𨧣       	 𢴠    	 趨	 𢭻 	 𠎊 	 𠎄 	 衝  	 𣼳 	 㻠 	 觸
w-     	 喎  	 𠶔    	       	 噾    	 倇    	 𠻄      	 唈    	 喐    	 嚯    	 喴  	       	 俺    	 𪡶    	 瑩      	 䇼    	 羯    	 蒦      	 威   	    	       	 啘 	 瀅  	       	    	         	     	       	       	       	         	       	       	       	 咼    	 𣘂       	       	 湆    	 蘊    	 汪      	 𦛞    	 鬱       	 約    	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
       	     	       	       	       	       	         	       	       	       	     	       	       	       	         	       	       	         	      	    	       	    	     	       	    	         	     	       	       	       	         	       	       	       	       	          	       	       	       	         	       	          	       	   	    	    	    	     	    	    	 
